ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-05,248.7442125069338,231.13653939960136,276.42005826978846,248.7442125069338,248.7442125069338,6.143872736361359,6.143872736361359,6.143872736361359,6.143872736361359,6.143872736361359,6.143872736361359,0.0,0.0,0.0,254.88808524329517
2023-09-06,248.4950867815346,229.84131945859224,276.88588927271803,248.4950867815346,248.4950867815346,5.679737911971206,5.679737911971206,5.679737911971206,5.679737911971206,5.679737911971206,5.679737911971206,0.0,0.0,0.0,254.17482469350583
2023-09-07,248.24596105613537,227.0007874179372,271.2209566747014,248.24596105613537,248.24596105613537,3.3061397450324224,3.3061397450324224,3.3061397450324224,3.3061397450324224,3.3061397450324224,3.3061397450324224,0.0,0.0,0.0,251.5521008011678
2023-09-08,247.99683533073616,227.48161085306228,271.37106976656764,247.99683533073616,247.99683533073616,3.0789103710621473,3.0789103710621473,3.0789103710621473,3.0789103710621473,3.0789103710621473,3.0789103710621473,0.0,0.0,0.0,251.0757457017983
2023-09-11,247.24945815453856,227.08620489195278,272.51330481188444,247.24945815453856,247.24945815453856,3.37262121054798,3.37262121054798,3.37262121054798,3.37262121054798,3.37262121054798,3.37262121054798,0.0,0.0,0.0,250.62207936508653
2023-09-12,247.00033242913935,227.9556116260945,276.4096546923102,247.00033242913935,247.00033242913935,6.1438727363655,6.1438727363655,6.1438727363655,6.1438727363655,6.1438727363655,6.1438727363655,0.0,0.0,0.0,253.14420516550484
2023-09-13,246.75120670374017,228.15480725507277,274.3583649648517,246.75120670374017,246.75120670374017,5.6797379119702125,5.6797379119702125,5.6797379119702125,5.6797379119702125,5.6797379119702125,5.6797379119702125,0.0,0.0,0.0,252.4309446157104
2023-09-14,246.50208097824896,226.23410792511217,274.6590555083416,246.50208097824896,246.50208097824896,3.306139745031036,3.306139745031036,3.306139745031036,3.306139745031036,3.306139745031036,3.306139745031036,0.0,0.0,0.0,249.80822072328
2023-09-15,246.2529552527578,226.42427884622555,272.76339310248073,246.2529552527578,246.2529552527578,3.0789103710532166,3.0789103710532166,3.0789103710532166,3.0789103710532166,3.0789103710532166,3.0789103710532166,0.0,0.0,0.0,249.331865623811
2023-09-18,245.5055780762843,225.82392724485274,270.36949218749015,245.5055780762843,245.5055780762843,3.3726212105705415,3.3726212105705415,3.3726212105705415,3.3726212105705415,3.3726212105705415,3.3726212105705415,0.0,0.0,0.0,248.87819928685485
2023-09-19,245.25645235079313,229.89345052228936,274.21138243942295,245.25645235079313,245.25645235079313,6.143872736355081,6.143872736355081,6.143872736355081,6.143872736355081,6.143872736355081,6.143872736355081,0.0,0.0,0.0,251.40032508714822
2023-09-20,245.00732662530194,227.65565113265288,273.85061764589875,245.00732662530194,245.00732662530194,5.679737911967135,5.679737911967135,5.679737911967135,5.679737911967135,5.679737911967135,5.679737911967135,0.0,0.0,0.0,250.68706453726907
2023-09-21,244.7582008998108,226.20580351792987,272.0068512286404,244.7582008998108,244.7582008998108,3.306139745033174,3.306139745033174,3.306139745033174,3.306139745033174,3.306139745033174,3.306139745033174,0.0,0.0,0.0,248.06434064484395
2023-09-22,244.5090751743196,224.47407544087883,269.8132858856369,244.5090751743196,244.5090751743196,3.078910371082893,3.078910371082893,3.078910371082893,3.078910371082893,3.078910371082893,3.078910371082893,0.0,0.0,0.0,247.5879855454025
2023-09-25,243.76169799784614,224.12409892485385,270.4336172799112,243.76169799784614,243.76169799784614,3.3726212105710345,3.3726212105710345,3.3726212105710345,3.3726212105710345,3.3726212105710345,3.3726212105710345,0.0,0.0,0.0,247.13431920841717
2023-09-26,243.51257227562851,226.63391878752475,271.13508418136877,243.51257227562851,243.51257227562851,6.143872736359222,6.143872736359222,6.143872736359222,6.143872736359222,6.143872736359222,6.143872736359222,0.0,0.0,0.0,249.65644501198773
2023-09-27,243.26344655341094,226.2366977034122,270.1351505883725,243.26344655341094,243.26344655341094,5.67973791197423,5.67973791197423,5.67973791197423,5.67973791197423,5.67973791197423,5.67973791197423,0.0,0.0,0.0,248.94318446538517
2023-09-28,243.01432083119332,221.55944110204078,268.7059385664987,243.01432083119332,243.01432083119332,3.3061397450353143,3.3061397450353143,3.3061397450353143,3.3061397450353143,3.3061397450353143,3.3061397450353143,0.0,0.0,0.0,246.32046057622864
2023-09-29,242.76519510897575,224.7062396512219,269.6576279459758,242.76519510897575,242.76519510897575,3.078910371065524,3.078910371065524,3.078910371065524,3.078910371065524,3.078910371065524,3.078910371065524,0.0,0.0,0.0,245.84410548004126
2023-10-02,242.01781794232295,222.16345202426314,267.11666343799675,242.01781794232295,242.01781794232295,3.3726212105825617,3.3726212105825617,3.3726212105825617,3.3726212105825617,3.3726212105825617,3.3726212105825617,0.0,0.0,0.0,245.39043915290551
2023-10-03,241.76869222010535,223.85697516708584,272.77088864890146,241.76869222010535,241.76869222010535,6.1438727363633605,6.1438727363633605,6.1438727363633605,6.1438727363633605,6.1438727363633605,6.1438727363633605,0.0,0.0,0.0,247.9125649564687
2023-10-04,241.51956649788775,224.36436453779646,269.8685704378636,241.51956649788775,241.51956649788775,5.679737911971153,5.679737911971153,5.679737911971153,5.679737911971153,5.679737911971153,5.679737911971153,0.0,0.0,0.0,247.1993044098589
